tag,weight,fruit_x,fruit_y,fruit_z,color,condition
374,3.27,20,20,20,grey,dessicated
374,3.18,20,15,25,grey,dessicated
374,2.86,20,20,20,grey,dessicated
374,2.74,20,20,25,grey,dessicated
374,2.72,20,15,20,grey,dessicated
374,2.7,20,15,20,grey,dessicated
374,2.46,15,15,20,grey,dessicated
374,2.42,15,15,20,grey,dessicated
376,4.57,20,20,20,grey,dessicated
376,3.94,20,20,20,grey,dessicated
376,3.15,20,20,15,grey,dessicated
376,3.06,20,20,20,grey,dessicated
376,3,20,20,20,grey,dessicated
376,2.99,20,20,20,grey,dessicated
376,2.97,20,15,20,grey,dessicated
376,2.44,15,15,20,grey,dessicated
376,2.42,15,15,20,grey,dessicated
376,1.54,20,15,20,grey,dessicated
377,5.91,20,20,25,black,dessicated
377,7.55,20,20,40,brown,ripe
377,7.29,20,20,30,brown,ripe
377,6.04,20,20,25,brown,ripe
377,6.01,20,20,25,brown,ripe
377,5.42,20,20,25,brown,ripe
377,5.36,20,20,25,brown,ripe
377,5.28,20,15,25,brown,ripe
377,4.4,15,20,20,brown,ripe
378,3.48,20,20,20,grey,dessicated
378,3.44,20,20,20,grey,dessicated
378,3.39,20,20,25,grey,dessicated
378,2.93,20,20,20,grey,dessicated
378,2.91,20,20,20,grey,dessicated
378,2.89,20,20,20,grey,dessicated
378,2.86,20,20,20,grey,dessicated
378,2.68,15,15,15,grey,dessicated
378,2.38,20,20,15,grey,dessicated
378,4.95,20,20,20,brown,ripe
379,5.78,20,20,25,brown,ripe
379,4.83,20,20,25,brown,ripe
379,4.7,20,20,20,brown,ripe
379,3.78,15,15,20,brown,ripe
379,3.59,20,20,20,brown,ripe
379,3.57,20,20,20,brown,ripe
379,3.03,15,15,20,brown,ripe
379,2.92,20,20,20,brown,ripe
379,2.34,20,20,25,brown,ripe
379,2.04,20,15,20,brown,ripe
380,4.52,20,20,20,grey,dessicated
380,3.54,20,20,20,grey,dessicated
380,2.59,15,15,25,grey,dessicated
380,7.93,20,20,25,green brown,ripe
380,7.91,25,25,25,green brown,ripe
380,7.71,20,20,25,yellow green,ripe
380,7.08,20,20,25,brown,ripe
380,6.68,20,20,20,yellow green,ripe
380,6.11,20,20,25,yellow green,ripe
380,5.57,20,20,20,brown,ripe
382,4.3,20,20,25,grey,dessicated
382,3.1,20,20,20,grey,dessicated
382,12.27,20,20,45,green,ripe
382,9.16,20,25,30,green,ripe
382,8,20,20,25,yellow,ripe
382,7.96,20,25,30,yellow brown,ripe
382,7.36,25,25,25,green,ripe
382,4.43,20,25,25,green,ripe
382,3.45,15,20,25,green,ripe
382,2.81,20,20,25,green,ripe
385,10.78,25,25,30,green yellow,ripe
385,9.59,25,25,30,green,ripe
385,9.55,25,25,35,green,ripe
385,7.29,25,25,25,yellow,ripe
385,5.17,20,20,25,yellow,ripe
386,1.28,15,10,25,green,ripe
386,1.17,10,10,25,green,ripe
386,0.96,10,10,20,green,ripe
387,5.96,25,25,35,grey,dessicated
387,5.05,20,20,25,grey,dessicated
387,4.8,20,20,25,grey,dessicated
